1_level,2_level,3_level,4_level,5_level,sub_1,year,subCategory,winner,object,id,primaryContext,secondaryContext,primaryContextType,secondaryContextType,url,pub_date
film,festivals,Berlin International Film Festival,Golden Bear,,,1954,,1,Hobson's Choice,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1955,,1,Die Ratten,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1956,,1,Invitation to the Dance,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1957,,1,12 Angry Men,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1958,,1,Wild Strawberries,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1959,,1,Les Cousins,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1960,,1,El Lazarillo de Tormes,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1961,,1,La Notte,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1962,,1,A Kind of Loving,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1963,,1,"Bushido, Samurai Saga",,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1963,,1,To Bed or Not to Bed,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1964,,1,Dry Summer,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1965,,1,Alphaville,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1966,,1,Cul-de-Sac,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1967,,1,The Departure,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1968,,1,Who Saw Him Die?,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1969,,1,Early Works,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1971,,1,The Garden of the Finzi-Continis,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1972,,1,The Canterbury Tales,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1973,,1,Distant Thunder,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1974,,1,The Apprenticeship of Duddy Kravitz,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
